roi,quantity,n,mean_init,mean_inhib,dz,p_perm
frontal,AIS crudo (real),47,1.2703169236163276,1.2256323918188918,0.3653010619062369,0.015498450154984501
frontal,AIS crudo en surrogados IAAFT,47,1.2535375240975577,1.209663269996057,0.35890964299663264,0.017198280171982803
frontal,dA_NL crudo (excedente no lineal),47,0.016779399518770402,0.015969121822834813,0.02405593189014058,0.8704129587041296
cacc,AIS crudo (real),47,1.286225415682636,1.313163267297687,-0.4025614150735604,0.0091990800919908
cacc,AIS crudo en surrogados IAAFT,47,1.286264171298813,1.3137852795014242,-0.39418592509481337,0.011398860113988602
cacc,dA_NL crudo (excedente no lineal),47,-3.875561617685299e-05,-0.0006220122037369937,0.02594475499419759,0.8582141785821418
lh,AIS crudo (real),47,1.0946921648924368,1.0898928396819083,0.04877084667441757,0.7529247075292471
lh,AIS crudo en surrogados IAAFT,47,1.0860506539611892,1.0858529979744374,0.002685938207199851,0.9862013798620138
lh,dA_NL crudo (excedente no lineal),47,0.00864151093124767,0.004039841707470868,0.08781218884968811,0.7737226277372263
rh,AIS crudo (real),47,1.0642036010044114,1.0579834347580905,0.05958743164628414,0.6866313368663134
rh,AIS crudo en surrogados IAAFT,47,1.0571650186844037,1.0542177423360668,0.02674690774408056,0.8591140885911409
rh,dA_NL crudo (excedente no lineal),47,0.007038582320007872,0.0037656924220236536,0.1258748867840509,0.397960203979602
