aggreg,param,roi,n,dz,p_perm,q_bh
media (pre-declarado),absA1,frontal,47,0.3552195844931106,0.0016998300169983002,0.026397360263973605
media (pre-declarado),absA1,cacc,47,-0.14551628479621395,0.40605939406059394,0.9626037396260374
media (pre-declarado),absA1,lh,47,0.01382976771996742,0.9336066393360664,0.9626037396260374
media (pre-declarado),absA1,rh,47,-0.03854585380907343,0.789021097890211,0.9626037396260374
media (pre-declarado),gamma1,frontal,47,-0.03726808115686959,0.7993200679932007,0.9626037396260374
media (pre-declarado),gamma1,cacc,47,-0.07101881046716645,0.645035496450355,0.9626037396260374
media (pre-declarado),gamma1,lh,47,-0.040335509636647324,0.7835216478352165,0.9626037396260374
media (pre-declarado),gamma1,rh,47,-0.12304049060105397,0.49325067493250674,0.9626037396260374
media (pre-declarado),f1,frontal,47,0.29137903594384756,0.047595240475952406,0.38076192380761925
media (pre-declarado),f1,cacc,47,-0.1838142679111383,0.2186781321867813,0.9626037396260374
media (pre-declarado),f1,lh,47,0.07376640938334532,0.7190280971902809,0.9626037396260374
media (pre-declarado),f1,rh,47,-0.03686151072127592,0.8183181681831817,0.9626037396260374
media (pre-declarado),absA2,frontal,47,0.3533446391316392,0.0021997800219978004,0.026397360263973605
media (pre-declarado),absA2,cacc,47,-0.14933380925953568,0.38466153384661533,0.9626037396260374
media (pre-declarado),absA2,lh,47,0.015562897489697339,0.9256074392560744,0.9626037396260374
media (pre-declarado),absA2,rh,47,-0.037755871360903456,0.7985201479852014,0.9626037396260374
media (pre-declarado),gamma2,frontal,47,0.04302680236215352,0.7774222577742226,0.9626037396260374
media (pre-declarado),gamma2,cacc,47,-0.08264176462227725,0.5821417858214178,0.9626037396260374
media (pre-declarado),gamma2,lh,47,0.06140156936302727,0.6723327667233276,0.9626037396260374
media (pre-declarado),gamma2,rh,47,-0.010166527044771657,0.9471052894710529,0.9626037396260374
media (pre-declarado),f2,frontal,47,-0.2610473299148368,0.07539246075392461,0.45235476452354767
media (pre-declarado),f2,cacc,47,0.03952009894750321,0.7928207179282072,0.9626037396260374
media (pre-declarado),f2,lh,47,-0.006949379140487256,0.9626037396260374,0.9626037396260374
media (pre-declarado),f2,rh,47,0.04743886098528785,0.7733226677332267,0.9626037396260374
mediana,absA1,frontal,47,0.3359129652311173,0.023797620237976203,0.3825217478252174
mediana,absA1,cacc,47,-0.19768273767278488,0.18018198180181982,0.6757724227577243
mediana,absA1,lh,47,-0.061996700931213275,0.678932106789321,0.9717984723266804
mediana,absA1,rh,47,-0.06406526667795664,0.6676332366763323,0.9717984723266804
mediana,gamma1,frontal,47,-0.3120224922773387,0.036696330366963306,0.3825217478252174
mediana,gamma1,cacc,47,-0.02173281594402668,0.885011498850115,0.9717984723266804
mediana,gamma1,lh,47,-0.27307583265885976,0.0678932106789321,0.3825217478252174
mediana,gamma1,rh,47,-0.17760941766433447,0.2328767123287671,0.6757724227577243
mediana,f1,frontal,47,0.29706795123816565,0.05069493050694931,0.3825217478252174
mediana,f1,cacc,47,-0.2625201931222006,0.0796920307969203,0.3825217478252174
mediana,f1,lh,47,0.0929224272242346,0.7058294170582942,0.9717984723266804
mediana,f1,rh,47,-0.03626943870694775,0.8329167083291671,0.9717984723266804
mediana,absA2,frontal,47,0.18302481734880136,0.2258774122587741,0.6757724227577243
mediana,absA2,cacc,47,-0.16012111525543513,0.28157184281571845,0.6757724227577243
mediana,absA2,lh,47,0.0787678141161447,0.5973402659734026,0.9717984723266804
mediana,absA2,rh,47,0.0792353623786082,0.601939806019398,0.9717984723266804
mediana,gamma2,frontal,47,0.0317935783616261,0.8351164883511649,0.9717984723266804
mediana,gamma2,cacc,47,0.002084175271368768,0.9921007899210079,0.9921007899210079
mediana,gamma2,lh,47,-0.03898733351556997,0.7931206879312068,0.9717984723266804
mediana,gamma2,rh,47,-0.05247920262781244,0.8114188581141886,0.9717984723266804
mediana,f2,frontal,47,-0.15922604779727328,0.275972402759724,0.6757724227577243
mediana,f2,cacc,47,-0.016582799757710754,0.9083091690830917,0.9717984723266804
mediana,f2,lh,47,0.012602755384213661,0.9313068693130687,0.9717984723266804
mediana,f2,rh,47,0.020908586989750687,0.8987101289871013,0.9717984723266804
media recortada 10%,absA1,frontal,47,0.14685996216360783,0.07939206079392061,0.37876212378762125
media recortada 10%,absA1,cacc,47,-0.20690903186421314,0.17998200179982002,0.6170811490279543
media recortada 10%,absA1,lh,47,-0.14457491374073886,0.33096690330966905,0.7387568935414152
media recortada 10%,absA1,rh,47,-0.0788082830648836,0.5912408759124088,0.8725127487251275
media recortada 10%,gamma1,frontal,47,-0.16155369664943092,0.2820717928207179,0.7387568935414152
media recortada 10%,gamma1,cacc,47,-0.12838725359829872,0.39436056394360564,0.7387568935414152
media recortada 10%,gamma1,lh,47,-0.12449383781226975,0.40015998400159986,0.7387568935414152
media recortada 10%,gamma1,rh,47,-0.1609621115358604,0.29587041295870414,0.7387568935414152
media recortada 10%,f1,frontal,47,0.2728817930009814,0.0680931906809319,0.37876212378762125
media recortada 10%,f1,cacc,47,-0.25020024313874417,0.09469053094690531,0.37876212378762125
media recortada 10%,f1,lh,47,0.0954193116454261,0.6224377562243776,0.8725127487251275
media recortada 10%,f1,rh,47,-0.05513114775721884,0.7331266873312668,0.8725127487251275
media recortada 10%,absA2,frontal,47,0.14657883806432903,0.0532946705329467,0.37876212378762125
media recortada 10%,absA2,cacc,47,-0.20179223074538466,0.05979402059794021,0.37876212378762125
media recortada 10%,absA2,lh,47,0.047596311553790294,0.7530246975302469,0.8725127487251275
media recortada 10%,absA2,rh,47,-0.07883022051431564,0.5921407859214078,0.8725127487251275
media recortada 10%,gamma2,frontal,47,0.03880001245526856,0.8049195080491951,0.8725127487251275
media recortada 10%,gamma2,cacc,47,-0.13261641147878275,0.37866213378662134,0.7387568935414152
media recortada 10%,gamma2,lh,47,-0.02580544545390512,0.8619138086191381,0.8725127487251275
media recortada 10%,gamma2,rh,47,0.03641147818525761,0.8357164283571643,0.8725127487251275
media recortada 10%,f2,frontal,47,-0.32300270761956884,0.032096790320967905,0.37876212378762125
media recortada 10%,f2,cacc,47,-0.02274501616686199,0.8725127487251275,0.8725127487251275
media recortada 10%,f2,lh,47,-0.07977029221335483,0.5917408259174083,0.8725127487251275
media recortada 10%,f2,rh,47,0.046995321767600136,0.7725227477252274,0.8725127487251275
media de log10|A|,logA1,frontal,47,0.3700787857824369,0.013498650134986502,0.071992800719928
media de log10|A|,logA1,cacc,47,-0.05544076580068066,0.7143285671432856,0.8006199380061993
media de log10|A|,logA1,lh,47,-0.04274969463253778,0.8006199380061993,0.8006199380061993
media de log10|A|,logA1,rh,47,-0.04769806270969949,0.7464253574642535,0.8006199380061993
media de log10|A|,logA2,frontal,47,0.35929194532318465,0.017998200179982,0.071992800719928
media de log10|A|,logA2,cacc,47,-0.19579840939572782,0.19858014198580143,0.5295470452954705
media de log10|A|,logA2,lh,47,0.11647833831623856,0.42885711428857115,0.8006199380061993
media de log10|A|,logA2,rh,47,-0.07948834083363794,0.5872412758724127,0.8006199380061993
