subject,cond,roi,chi_sp,chi_sp_r2
P1,INHIB,cacc,0.8279856034051272,
P1,INHIB,frontal,1.4823742624969234,
P1,INHIB,lh,0.5616108946707308,
P1,INHIB,rh,0.8046688455428044,
P1,INIT,cacc,0.8859404029797943,
P1,INIT,frontal,1.6947616560666212,
P1,INIT,lh,0.9443848763035303,
P1,INIT,rh,0.5282247966254172,
P10,INHIB,cacc,0.6684546928419091,
P10,INHIB,frontal,0.5686038280825482,
P10,INHIB,lh,0.5229936271270569,
P10,INHIB,rh,0.5092960440989083,
P10,INIT,cacc,0.8029967857988124,
P10,INIT,frontal,0.7181727628969188,
P10,INIT,lh,0.5722783321735603,
P10,INIT,rh,0.6095148150375713,
P11,INHIB,cacc,0.5229373036678878,
P11,INHIB,frontal,0.5040440480401623,
P11,INHIB,lh,0.05219920513350586,
P11,INHIB,rh,0.2963353973528807,
P11,INIT,cacc,0.4844958129968368,
P11,INIT,frontal,1.0314142993914284,
P11,INIT,lh,0.3381000999315023,
P11,INIT,rh,0.45448138922451986,
P12,INHIB,cacc,0.6705807643570352,
P12,INHIB,frontal,0.5727395977793412,
P12,INHIB,lh,0.3715000636493411,
P12,INHIB,rh,0.1461813474616879,
P12,INIT,cacc,0.533339777193136,
P12,INIT,frontal,0.5682355420763258,
P12,INIT,lh,0.4118787745128726,
P12,INIT,rh,0.3345660968119892,
P13,INHIB,cacc,1.0759503784857238,
P13,INHIB,frontal,1.0954483711375318,
P13,INHIB,lh,0.9171099994644283,
P13,INHIB,rh,0.6850919036043728,
P13,INIT,cacc,1.032713082141316,
P13,INIT,frontal,1.236201313592024,
P13,INIT,lh,0.7793375870793015,
P13,INIT,rh,0.8788294731571978,
P14,INHIB,cacc,1.029796532083446,
P14,INHIB,frontal,1.7102074935510971,
P14,INHIB,lh,0.6852600555855077,
P14,INHIB,rh,0.750677516708036,
P14,INIT,cacc,1.0649179349213094,
P14,INIT,frontal,1.9614186823701085,
P14,INIT,lh,1.0789360052281176,
P14,INIT,rh,0.9225271896489489,
P15,INHIB,cacc,0.7740052739703952,
P15,INHIB,frontal,0.6799840370347756,
P15,INHIB,lh,0.502652930990477,
P15,INHIB,rh,0.46896659543904395,
P15,INIT,cacc,0.6584320836791059,
P15,INIT,frontal,0.7669155220586726,
P15,INIT,lh,0.5825305526439147,
P15,INIT,rh,0.46148426054446,
P16,INHIB,cacc,0.5205169327204585,
P16,INHIB,frontal,0.5601821819324722,
P16,INHIB,lh,0.46086259861003614,
P16,INHIB,rh,0.6121756336501543,
P16,INIT,cacc,0.7157790322235817,
P16,INIT,frontal,0.9762085994585985,
P16,INIT,lh,0.6076962848717421,
P16,INIT,rh,0.2733813440137048,
P17,INHIB,cacc,0.8119573251373863,
P17,INHIB,frontal,1.6342134844027032,
P17,INHIB,lh,0.8933929601802809,
P17,INHIB,rh,0.735543123302999,
P17,INIT,cacc,0.934990883825512,
P17,INIT,frontal,2.068705691895413,
P17,INIT,lh,1.167036756173155,
P17,INIT,rh,0.6576379867230646,
P18,INHIB,cacc,1.790153866437203,
P18,INHIB,frontal,1.3334095463742706,
P18,INHIB,lh,2.7458209342928477,
P18,INHIB,rh,1.0429869078582468,
