model,dv,covariables,dz,dz_lo,dz_hi,p_perm,beta_cov
M0  AIS_resid ~ 1,ais_resid,—,0.3911510804147922,0.11525341520544807,0.7111742623999302,0.009499050094990502,{}
M-i  + amplitud N450,ais_resid,amp_n450,0.40728010415820226,0.12944682172886393,0.7245581388737644,0.0072992700729927005,{'amp_n450': 9108.0884}
M-ii + exponente 1/f (specparam),ais_resid,chi_sp,0.4710488562497032,0.15317856820222814,0.9050677187519852,0.0025997400259974,{'chi_sp': 0.1488}
M-ii' + exponente 1/f (OLS trial),ais_resid,chi_ols,0.6751841197926395,0.18522606322391458,1.3012390033915888,9.999000099990002e-05,{'chi_ols': 0.2612}
M-iii + AIS crudo,ais_resid,ais_raw,0.5999420806005207,0.1894423577689884,1.0551525902352044,0.00029997000299970003,{'ais_raw': 0.6054}
M-full + amp + 1/f + AIS crudo,ais_resid,"amp_n450, chi_sp, ais_raw",0.6378000061598154,0.21979702909475762,1.2984109766765157,9.999000099990002e-05,"{'amp_n450': -693.972, 'chi_sp': 0.0749, 'ais_raw': 0.5099}"
M-R2 + R2 del ajuste,ais_resid,r2,0.42996873559111004,0.14632500932086281,0.783924842459271,0.0052994700529947,{'r2': 0.4916}
REC amplitud N450 ~ 1,amp_n450,—,0.3583280325264309,0.0540361900918265,0.7018285443831014,0.017798220177982202,{}
REC amplitud N450 ~ 1 + AIS_resid,amp_n450,ais_resid,0.3731036055311622,0.06999554857867281,0.756587019880193,0.015498450154984501,{'ais_resid': 0.0}
REC exponente 1/f ~ 1,chi_sp,—,0.4054324971912514,0.12729044559049332,0.7057261614469017,0.007899210078992101,{}
REC exponente 1/f ~ 1 + AIS_resid,chi_sp,ais_resid,0.4882474410805123,0.158010799128519,0.9630967920412902,0.0016998300169983002,{'ais_resid': 2.1869}
REC AIS crudo ~ 1,ais_raw,—,0.3653010619062368,0.08596494570055195,0.6725345956772171,0.019998000199980003,{}
REC AIS crudo ~ 1 + AIS_resid,ais_raw,ais_resid,0.5602936821578042,0.12124824190605483,1.0493238814769479,0.0005999400059994001,{'ais_resid': 0.9649}
REC amplitud en el pico ~ 1,amp_peak,—,0.3290518388277718,0.04302181094466009,0.6770260958883869,0.029197080291970802,{}
REC amplitud en el pico ~ 1 + AIS_resid,amp_peak,ais_resid,0.3449150064254633,0.049871493500324215,0.7632233215549086,0.023797620237976203,{'ais_resid': 0.0}
REC varianza del residuo ~ 1,resid_var,—,0.6337645505922204,0.4361423423071435,0.8735169887580164,9.999000099990002e-05,{}
REC varianza del residuo ~ 1 + AIS_resid,resid_var,ais_resid,0.7908197422195109,0.5384476043489953,1.1689097727761049,9.999000099990002e-05,{'ais_resid': 0.0}
