metric,target,r2_threshold,n,init_mean,inhib_mean,delta,t,p,d,stars
AIS,frontal,0.0,47,0.8922,0.8543,0.0379,2.6816,0.01014,0.391,*
AIS,cacc,0.0,47,0.9287,0.945,-0.0163,-1.7915,0.0798,-0.261,n.s.
TE,frontal→cACC,0.0,47,1.1812,1.1692,0.012,1.6223,0.11157,0.237,n.s.
AIS,frontal,0.1,47,0.8919,0.8543,0.0376,2.6683,0.01049,0.389,*
AIS,cacc,0.1,47,0.9287,0.945,-0.0163,-1.7845,0.08094,-0.26,n.s.
TE,frontal→cACC,0.1,47,1.1813,1.1692,0.0121,1.6295,0.11003,0.238,n.s.
AIS,frontal,0.2,47,0.8918,0.8541,0.0377,2.6715,0.01041,0.39,*
AIS,cacc,0.2,47,0.9285,0.9449,-0.0164,-1.795,0.07922,-0.262,n.s.
TE,frontal→cACC,0.2,47,1.1813,1.1692,0.0121,1.6415,0.10751,0.239,n.s.
AIS,frontal,0.3,47,0.8913,0.8534,0.0379,2.6587,0.01076,0.388,*
AIS,cacc,0.3,47,0.9281,0.945,-0.017,-1.8623,0.06896,-0.272,n.s.
TE,frontal→cACC,0.3,47,1.1817,1.1693,0.0124,1.685,0.09877,0.246,n.s.
AIS,frontal,0.5,47,0.8949,0.8521,0.0428,2.9974,0.00438,0.437,**
AIS,cacc,0.5,47,0.9249,0.939,-0.0141,-1.5037,0.1395,-0.219,n.s.
TE,frontal→cACC,0.5,47,1.1843,1.1725,0.0118,1.6303,0.10986,0.238,n.s.
