roi,measure,n,dz,p_perm,q_bh_exploratorio
frontal,SD entre trials de ais_resid,43,0.5304981026916186,0.0010998900109989002,0.017598240175982403
frontal,SD entre trials de resid_var,43,0.0804210709386971,0.6119388061193881,0.8620137986201379
frontal,SD entre trials de absA1,43,0.42620410117693003,0.0034996500349965005,0.018664800186648
frontal,SD entre trials de gamma1,43,0.2328463971696915,0.1346865313468653,0.5387461253874612
frontal,SD entre trials de f1,43,0.09231341313813284,0.5501449855014499,0.8620137986201379
frontal,SD entre trials de absA2,43,0.4243274456227037,0.0025997400259974,0.018664800186648
frontal,SD entre trials de gamma2,43,0.02880999422007696,0.8545145485451455,0.8620137986201379
frontal,SD entre trials de f2,43,-0.1330725425291122,0.40205979402059794,0.8050750480507505
cacc,SD entre trials de ais_resid,43,-0.05840203178806489,0.7015298470152985,0.8620137986201379
cacc,SD entre trials de resid_var,43,0.18216621449275763,0.24467553244675533,0.6524680865246809
cacc,SD entre trials de absA1,43,-0.13308714423887547,0.45285471452854714,0.8050750480507505
cacc,SD entre trials de gamma1,43,0.06421871284745238,0.6926307369263074,0.8620137986201379
cacc,SD entre trials de f1,43,0.19166406647344855,0.2181781821817818,0.6524680865246809
cacc,SD entre trials de absA2,43,-0.1358073650503026,0.44115588441155884,0.8050750480507505
cacc,SD entre trials de gamma2,43,-0.03068446296457301,0.8431156884311569,0.8620137986201379
cacc,SD entre trials de f2,43,0.029081979839973654,0.8620137986201379,0.8620137986201379
